"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"spatial_block_5000m",3,"GPR",0.00147774881794729,0.0216674777673213,0.0119271918536343,0.00664256976306144,5000,"all"
"spatial_block_5000m",3,"Ordinary Kriging",0.546370345222838,0.0173410566288035,0.00633142346526079,-0.000738292207830192,5000,"all"
"spatial_block_5000m",3,"Universal Kriging (env drift)",0.168203685612489,107.860342871496,24.5063834798612,18.4672191449933,5000,"all"
"spatial_block_5000m",3,"GAM",0.481991324942916,0.016752371637363,0.00629562466490663,-0.00148333830281808,5000,"all"
"spatial_block_5000m",3,"INLA",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",4,"Random Forest",0.607022627703017,0.0144528231237594,0.0120926030449552,0.00864193807551817,5000,"all"
"spatial_block_5000m",4,"XGBoost",0.540434716587167,0.0114283074467818,0.00785664732186084,-0.00155874703450335,5000,"all"
"spatial_block_5000m",4,"SVM",0.694762156924404,0.0203248375982823,0.0144470854441719,0.00756079515130879,5000,"all"
"spatial_block_5000m",4,"Neural Network",0.654019254473654,0.0808673393659869,0.051014537601575,0.0436604372108894,5000,"all"
"spatial_block_5000m",4,"GPR",0.375376032991663,0.0433174275673798,0.025724692509331,0.0177508107439201,5000,"all"
"spatial_block_5000m",4,"Ordinary Kriging",0.697270270260786,0.0389576530548783,0.0240688812747237,0.0219092071320635,5000,"all"
"spatial_block_5000m",4,"Universal Kriging (env drift)",0.0094737257386025,888.648242694363,155.700384592545,58.5448393529069,5000,"all"
"spatial_block_5000m",4,"GAM",0.636402486509215,0.0399109840889251,0.0240546378340057,0.0214552563972342,5000,"all"
"spatial_block_5000m",4,"INLA",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",5,"Random Forest",0.209962544056296,0.0108046580269875,0.00999282973824038,0.00894986197383056,5000,"all"
"spatial_block_5000m",5,"XGBoost",0.484970334636354,0.00538332885978368,0.00430066525886349,0.000714007879664297,5000,"all"
"spatial_block_5000m",5,"SVM",0.327227511456922,0.00642652242096804,0.00458365569222842,-0.000202689897578366,5000,"all"
"spatial_block_5000m",5,"Neural Network",0.352153099794132,0.015669401585198,0.00957434221771732,0.00162112561480581,5000,"all"
"spatial_block_5000m",5,"GPR",0.0706447488668489,0.0112245945949096,0.0103449002873954,0.00901825286727707,5000,"all"
"spatial_block_5000m",5,"Ordinary Kriging",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",5,"Universal Kriging (env drift)",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",5,"GAM",0.32191714468166,0.00739134474789439,0.00495461222825897,-0.000726733747948212,5000,"all"
"spatial_block_5000m",5,"INLA",NA,NA,NA,NA,5000,"all"
"spatial_block_5000m",1,"Random Forest",0.780579483412021,0.0538401518110444,0.0258545957999287,-0.0221335250059187,5000,"pruned_gpr"
"spatial_block_5000m",1,"XGBoost",0.748188241960995,0.0481332879591614,0.024445699331153,-0.021459589512003,5000,"pruned_gpr"
"spatial_block_5000m",1,"SVM",0.554912042996087,0.0472632966355385,0.0246660251926113,-0.0212731436830301,5000,"pruned_gpr"
"spatial_block_5000m",1,"Neural Network",0.0871804860541994,0.0508186562378641,0.0334777316578881,-0.0118729111666994,5000,"pruned_gpr"
"spatial_block_5000m",1,"GPR",0.853224771605065,0.0480869903377583,0.0239164610505669,-0.019188438899652,5000,"pruned_gpr"
"spatial_block_5000m",1,"Ordinary Kriging",0.697427204667148,0.0479952097228161,0.0234664659894008,-0.0175154692291482,5000,"pruned_gpr"
"spatial_block_5000m",1,"Universal Kriging (env drift)",0.0775873862538919,0.0512123259030698,0.0326891274092634,-0.0114164679115765,5000,"pruned_gpr"
"spatial_block_5000m",1,"GAM",0.853140555126767,0.0440146212941243,0.020856272046476,-0.0181170009803242,5000,"pruned_gpr"
